投诉编号,投诉品牌,投诉车系,投诉车型,问题简述,典型问题,投诉时间,投诉状态
499333,东风日产,劲客,2017款 1.5L CVT 智行版,东风日产劲客发电机漏油 厂家不承认故障,车身附件及电器:发电机故障 服务态度:否认质量问题 ,2020-07-21,信息审核
499332,吉利汽车,帝豪,2017款 1.5L CVT 向上版 三厢 百万款,吉利帝豪加速异响 车身抖动影响使用,发动机:异响 发动机:抖动 ,2020-07-21,信息审核
499330,北京现代,胜达,2013款 2.0T 自动 四驱 顶级型 改款,北京现代胜达电子手刹抱死无法行驶,制动系统:手刹故障 ,2020-07-21,信息审核
499328,广汽菲克Jeep,自由侠,2018款 互联大屏版 180TS 自动 高能版,广汽菲克Jeep自由侠不明原因导致车身抖动,车身附件及电器:车身共振 ,2020-07-21,信息审核
499326,一汽丰田,亚洲龙,2019款 2.5L Touring 尊贵版 国Ⅵ,一汽丰田亚洲龙中控异响存在质量问题,车身附件及电器:中控台异响 ,2020-07-21,信息审核
499325,上汽斯柯达,柯米克,2018款 1.5L 手动 标准版 国V,斯柯达柯米克吃胎偏磨行驶爆胎导致事故,前后桥及悬挂系统:吃胎偏磨 ,2020-07-21,信息审核
499322,北京奔驰,奔驰C级,2015款 180 L,北京奔驰C级雨天时车内有大量的积水,车身附件及电器:天窗漏水 ,2020-07-21,信息审核
499320,长城汽车,哈弗H6 Coupe,2015款 2.0T 自动 两驱精英型,哈弗H6 Coupe发动机烧机油非常严重,发动机:烧机油 ,2020-07-21,厂家受理
499319,华晨中华,中华H530,2014款 1.6L 手动 舒适型,中华H530刹车泵故障 厂家无配件维修,制动系统:刹车泵故障 配件争议:无零配件 ,2020-07-21,信息审核
499317,路虎进口,揽胜运动版,2020款 3.0 L6 HSE DYNAMIC,路虎揽胜运动版防冻液泄漏导致发动机受损,发动机:漏防冻液 ,2020-07-21,信息审核
499312,众泰汽车,芝麻,2016款 E30 标准型,众泰芝麻充电枪故障 轮毂异响 玻璃水泄漏,车身附件及电器:轮毂问题 车身附件及电器:雨刮器故障 车身附件及电器:充电故障 ,2020-07-21,信息审核
499311,一汽大众,捷达VA3,2019款 1.5L 手动 悦享版,捷达VA3驾驶室内螺丝脱落要求处理,车身附件及电器:部件异常磨损 ,2020-07-21,信息审核
499308,东风标致,标致4008,2018款 350THP 精英版,东风标致4008转向时方向盘存在异响,转向系统:异响 ,2020-07-21,信息审核
499304,广汽丰田,凯美瑞,2019款 双擎 2.5HG 豪华版 国VI,广汽丰田凯美瑞中控屏密封不严导致进灰,车身附件及电器:影音系统故障 ,2020-07-21,用户评分
499302,奇瑞汽车,瑞虎8,2019款 1.6TGDI 自动 精英型,奇瑞瑞虎8厂家赔偿金4S店拒绝核实,承诺不兑现:服务承诺不兑现 ,2020-07-21,信息审核
499301,东风乘用车,风神AX7,2019款 1.6T 自动 AI领航型 国V,东风风神AX7进气歧管漏油厂家拒绝维修,发动机:漏油 ,2020-07-21,厂家受理
499298,海马汽车,海马S5青春版,2018款 1.6L CVT 豪华型,海马S5青春版售后服务网点少要求解决,服务流程不完善:服务网点少 ,2020-07-21,信息审核
499293,东风标致,标致308,2016款 1.6L 自动 时尚版,东风标致308玛吉斯轮胎开裂影响安全,轮胎:开裂 ,2020-07-21,信息审核
499281,BEIJING汽车,绅宝X55,2016款 1.5T CVT 精英版,绅宝X55行驶转向卡滞一直未解决,转向系统:卡滞 ,2020-07-21,信息审核
499279,东风日产,天籁,2013款 2.0L XL 舒适版,东风日产天籁车内沥青异味无法解决,车身附件及电器:车内异味 ,2020-07-21,厂家受理
499278,一汽-大众,探岳,2019款 330TSI 两驱 豪华型 国Ⅵ,一汽大众探岳变速箱低速行驶异响严重,变速器:异响 ,2020-07-21,信息审核
499276,一汽大众,捷达VS7,2020款 1.4T 自动 荣耀型,捷达VS7后备箱密封条开裂 贴膜收费不合理,车身附件及电器:密封条损坏 服务收费:变相收费 ,2020-07-21,信息审核
499273,一汽-大众奥迪,奥迪A4L,2018款 2.0T 时尚型 30周年年型,奥迪A4L行驶时变速箱顿挫异响 刹车异响,变速器:异响 变速器:顿挫 制动系统:异响 ,2020-07-21,信息审核
499271,一汽丰田,亚洲龙,2019款 双擎 2.5L 豪华版 国Ⅵ,一汽丰田亚洲龙格栅隔板故障一直没有配件 ,发动机:故障灯亮 配件争议:无零配件 ,2020-07-21,信息审核
