投诉编号,投诉品牌,投诉车系,投诉车型,问题简述,典型问题,投诉时间,投诉状态
500036,北京现代,领动,2019款 1.4T 双离合 炫动·活力型,北京现代领动变速器换挡异响顿挫明显,变速器:异响 变速器:顿挫 ,2020-07-23,信息审核
500031,吉利汽车,帝豪GS,2016款 1.3T 自动 领尚型 运动版,吉利帝豪GS车门生锈多次喷漆未解决,车身附件及电器:车身生锈 ,2020-07-23,信息审核
500025,广汽丰田,凯美瑞,2019款 2.0G 豪华版 国VI,广汽丰田凯美瑞机油增多有严重汽油味,发动机:机油增多 ,2020-07-23,信息审核
500023,上汽大众,途观L,2017款 330TSI 两驱 豪华版,上汽大众途观L变速箱机电控制单元损坏,变速器:故障灯亮 变速器:滑阀箱故障 ,2020-07-23,信息审核
500021,东风日产,天籁,2019款 2.0L XL Upper 智行版,东风日产天籁发动机异响前减震器异响,发动机:异响 前后桥及悬挂系统:减震器异响 人员技术:多次返修 ,2020-07-23,信息审核
500013,一汽-大众,速腾,2014款 1.4TSI 自动 豪华型,一汽大众速腾变速箱加速无力急加速异响,变速器:异响 ,2020-07-23,信息审核
500011,东风标致,标致408,2015款 1.2T 自动 豪华版,东风标致408发动机烧机油希望尽快解决,发动机:烧机油 ,2020-07-23,信息审核
500000,上汽大众,途观,2013款 1.8TSI 自动 四驱 豪华型,上汽大众途观天窗漏水导致底板被水浸泡,车身附件及电器:天窗漏水 ,2020-07-23,信息审核
499997,东风雪铁龙,雪铁龙C4L,2016款 1.6T 自动 精英型,东风雪铁龙C4L发动机失去动力厂家不保修,发动机:异响 发动机:动力消失 发动机:涡轮增压器故障 服务态度:不予索赔 ,2020-07-23,厂家受理
499995,英菲尼迪（进口）,英菲尼迪QX60,2016款 2.5T Hybrid 两驱 卓越版 国V,进口英菲尼迪QX60变速箱顿挫有异响,变速器:异响 变速器:顿挫 ,2020-07-23,信息审核
499992,一汽-大众奥迪,奥迪A4L,2020款 40 TFSI 时尚动感型,一汽大众奥迪A4L挂N挡和P挡时发动机抖动,发动机:抖动 ,2020-07-23,信息审核
499989,上汽大众,凌渡,2019款 230TSI DSG 风尚版 国V,上汽大众凌渡过颠簸路面时变速箱异响,变速器:异响 ,2020-07-23,信息审核
499988,长城汽车,WEY VV5,2020款 1.5T 两驱 颜先锋,WEY VV5挂挡后变速箱无动力输出,变速器:无法加速 ,2020-07-23,信息审核
499985,长城汽车,哈弗H2,2014款 1.5T 手动 两驱尊贵版 5座,哈弗H2车身生锈 转向异响希望处理,转向系统:异响 车身附件及电器:车身生锈 ,2020-07-23,信息审核
